Category: All categories,
,
Month,Zillow: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,<1
2005-03,0
2005-04,<1
2005-05,<1
2005-06,0
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,9
2006-03,6
2006-04,7
2006-05,8
2006-06,7
2006-07,7
2006-08,7
2006-09,6
2006-10,6
2006-11,5
2006-12,6
2007-01,6
2007-02,7
2007-03,7
2007-04,7
2007-05,7
2007-06,8
2007-07,8
2007-08,7
2007-09,6
2007-10,6
2007-11,6
2007-12,6
2008-01,7
2008-02,8
2008-03,9
2008-04,9
2008-05,9
2008-06,9
2008-07,10
2008-08,10
2008-09,9
2008-10,9
2008-11,9
2008-12,10
2009-01,11
2009-02,12
2009-03,12
2009-04,11
2009-05,12
2009-06,12
2009-07,11
2009-08,11
2009-09,11
2009-10,10
2009-11,9
2009-12,9
2010-01,10
2010-02,10
2010-03,11
2010-04,11
2010-05,11
2010-06,11
2010-07,11
2010-08,11
2010-09,12
2010-10,12
2010-11,11
2010-12,11
2011-01,16
2011-02,16
2011-03,18
2011-04,18
2011-05,19
2011-06,21
2011-07,23
2011-08,23
2011-09,21
2011-10,21
2011-11,21
2011-12,21
2012-01,25
2012-02,26
2012-03,26
2012-04,27
2012-05,25
2012-06,28
2012-07,28
2012-08,28
2012-09,25
2012-10,25
2012-11,22
2012-12,23
2013-01,29
2013-02,32
2013-03,35
2013-04,36
2013-05,38
2013-06,41
2013-07,46
2013-08,43
2013-09,37
2013-10,33
2013-11,34
2013-12,30
2014-01,39
2014-02,39
2014-03,45
2014-04,47
2014-05,45
2014-06,52
2014-07,58
2014-08,53
2014-09,47
2014-10,44
2014-11,40
2014-12,37
2015-01,47
2015-02,47
2015-03,56
2015-04,57
2015-05,60
2015-06,62
2015-07,66
2015-08,67
2015-09,58
2015-10,52
2015-11,50
2015-12,47
2016-01,54
2016-02,58
2016-03,61
2016-04,67
2016-05,64
2016-06,68
2016-07,66
2016-08,60
2016-09,57
2016-10,53
2016-11,50
2016-12,48
2017-01,62
2017-02,65
2017-03,70
2017-04,69
2017-05,72
2017-06,70
2017-07,72
2017-08,68
2017-09,59
2017-10,57
2017-11,54
2017-12,51
2018-01,65
2018-02,69
2018-03,73
2018-04,74
2018-05,73
2018-06,77
2018-07,79
2018-08,74
2018-09,66
2018-10,63
2018-11,56
2018-12,57
2019-01,75
2019-02,74
2019-03,77
2019-04,80
2019-05,84
2019-06,89
2019-07,83
2019-08,72
2019-09,72
2019-10,67
2019-11,63
2019-12,62
2020-01,74
2020-02,79
2020-03,62
2020-04,72
2020-05,82
2020-06,92
2020-07,100
2020-08,90
2020-09,83
2020-10,79
2020-11,69
2020-12,68
2021-01,84
2021-02,86
2021-03,87
2021-04,86
2021-05,85
2021-06,88
2021-07,91
2021-08,80
2021-09,76
2021-10,71
2021-11,70
2021-12,64
2022-01,80
2022-02,82
2022-03,88
2022-04,86
2022-05,83
2022-06,86
2022-07,82
2022-08,80
2022-09,70
2022-10,67
2022-11,64
2022-12,59
2023-01,70
2023-02,75
2023-03,74
2023-04,77
2023-05,76
2023-06,82
2023-07,82
2023-08,77
2023-09,68
2023-10,65
2023-11,63
2023-12,63
